"TOA5","HEF30","CR1000X","24598","CR1000X.Std.05.00","CPU:20211014_snowfox_station_retr230818.cr1x","43093","lf"
"TIMESTAMP","RECORD","Batt_Min","PTemp_Avg","Tair_1_Avg","Tair_2_Avg","Hum_1_Avg","Hum_2_Avg","SWin_Avg","SWout_Avg","LWin_Avg","LWout_Avg","CNR4TC_Avg","LWinCor_Avg","LWoutCor_Avg","Wspeed","Wdir","Wspeed_Max","DT_raw","Q","TCDT","Snow_Depth","Press_Avg"
"TS","RN","Volts","Deg C","Celsius","Celsius","%","%","W/m2","W/m2","W/m2","W/m2","Celsius","W/m2","W/m2","m/s","degree","m/s","meters","unitless","meters","meters","mbar"
"","","Min","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","WVc","WVc","Max","Smp","Smp","Smp","Smp","Avg"
"2024-10-22 12:40:00",56424,13.98,4.735,3.137,3.217,85.9,99.8,246.6711,186.3933,-57.4129,-24.27602,6.246,288.0983,321.2352,0.597,217.1,1.509,4.231,185,4.257,0.743,714.8434
"2024-10-22 12:50:00",56425,13.23,5.655,2.946,3.172,87.5,99.8,214.2936,158.9189,-58.13076,-23.33154,6.1,286.6597,321.459,1.225,175.3,1.968,4.37,198,4.396,0.604,714.9214
"2024-10-22 13:00:00",56426,13.33,6.022,2.88,3.058,90.5,99.8,149.6891,115.2261,-50.18342,-20.98527,5.53,291.8008,320.999,0.851,195.3,2.14,4.383,227,4.405,0.595,714.9381
"2024-10-22 13:10:00",56427,13.4,6.626,2.796,2.958,91.7,99.8,193.2425,145.4452,-38.9453,-19.69111,5.18,301.3267,320.5809,0.953,161,1.53,4.382,274,4.407,0.593,714.9811
"2024-10-22 13:20:00",56428,13.47,7.052,2.863,3.092,90.9,99.8,184.8774,143.3257,-27.53002,-20.36984,5.264,313.15,320.3102,0.88,134.6,1.581,4.38,280,4.405,0.595,715.0324
"2024-10-22 13:30:00",56429,13.53,7.244,2.562,2.901,95.2,99.8,162.0513,127.991,-21.76688,-19.29729,4.972,317.4888,319.9584,1.294,145.5,2.094,4.386,216,4.408,0.592,715.1041
"2024-10-22 13:40:00",56430,13.57,7.292,2.209,2.698,97,99.8,151.0758,119.4615,-19.73926,-17.42541,4.539,317.4064,319.7203,2.19,133.7,2.744,4.386,239,4.406,0.594,715.1427
"2024-10-22 13:50:00",56431,13.58,7.197,2.084,2.394,97.8,99.7,127.0966,101.8868,-17.16661,-15.76538,4.082,317.7651,319.1663,1.14,109.6,1.707,4.372,381,4.392,0.608,715.129
"2024-10-22 14:00:00",56432,13.57,7.066,2.096,2.374,98.3,99.7,120.0917,96.05839,-15.40197,-15.18986,3.936,318.8242,319.0363,0.925,73.49,2.074,4.385,225,4.403,0.597,715.2094
